Pavarde             Vardas              Galutinis (Vid.)    
Pavarde615          Vardas615           7.81                
Pavarde6150         Vardas6150          6.50                
Pavarde6151         Vardas6151          8.03                
Pavarde6152         Vardas6152          8.12                
Pavarde6153         Vardas6153          5.42                
Pavarde6155         Vardas6155          7.62                
Pavarde6156         Vardas6156          8.05                
Pavarde6157         Vardas6157          6.98                
Pavarde6159         Vardas6159          6.40                
Pavarde6160         Vardas6160          7.44                
Pavarde6162         Vardas6162          6.87                
Pavarde6163         Vardas6163          7.18                
Pavarde6164         Vardas6164          5.76                
Pavarde6165         Vardas6165          5.31                
Pavarde6166         Vardas6166          7.55                
Pavarde6167         Vardas6167          6.63                
Pavarde6168         Vardas6168          6.27                
Pavarde617          Vardas617           6.19                
Pavarde6170         Vardas6170          6.78                
Pavarde6172         Vardas6172          7.10                
